# min_read_ani:0.95 max_insert_relative:3 min_insert:50 min_mapq:1 pairing_filter:paired_only
scaffold	pass_pairing_filter	filtered_pairs	mean_mistmaches	unfiltered_pairs	pass_min_read_ani	median_insert	unfiltered_reads	mean_mapq_score	pass_min_mapq	unfiltered_priority_reads	pass_max_insert	unfiltered_singletons	pass_min_insert	mean_PID	mean_insert_distance	mean_pair_length	filtered_singletons	filtered_priority_reads
NORP83_93	1202	1146	1.5316139767054908	1202	1202.0	164.0	2515	32.02828618968386	1146.0	0	1202.0	111	1202.0	0.992977852724687	171.29118136439268	219.12312811980038	0	0
NORP83_67	4467	4456	1.3098276248041192	4467	4466.0	164.0	9190	37.246698007611364	4457.0	0	4467.0	256	4467.0	0.9940464606052708	173.4519811954332	219.52361764047455	0	0
NORP83_102	1418	1418	2.4802538787023978	1418	1418.0	160.0	3122	40.42877291960508	1418.0	0	1418.0	286	1418.0	0.9887306037331464	167.5677009873061	219.90479548660085	0	0
NORP83_95	908	908	2.6090308370044046	908	908.0	162.0	1992	40.0352422907489	908.0	0	908.0	176	908.0	0.9880965454573836	170.16960352422907	219.19273127753303	0	0
NORP83_109	899	899	1.7808676307007787	899	899.0	165.0	1963	39.39599555061179	899.0	0	899.0	165	899.0	0.9918908603993952	170.7953281423804	219.41490545050056	0	0
NORP83_105	1187	1154	1.586352148272957	1187	1187.0	164.0	2458	38.69671440606571	1154.0	0	1187.0	84	1187.0	0.9927745777043658	171.46672283066553	219.5905644481887	0	0
NORP83_96	1184	1183	1.8285472972972971	1184	1184.0	164.0	2478	41.04476351351352	1183.0	0	1184.0	110	1184.0	0.9916832506754928	172.7069256756757	219.1199324324324	0	0
NORP83_110	790	789	2.3379746835443043	790	790.0	165.0	1644	40.57974683544304	789.0	0	790.0	64	790.0	0.98935865480884	174.42911392405063	219.46582278481011	0	0
NORP83_103	989	987	2.107178968655208	989	989.0	160.0	2043	34.77957532861476	987.0	0	989.0	65	989.0	0.9903719096570008	169.42871587462082	219.07178968655208	0	0
NORP83_106	2037	2032	2.0294550810014726	2037	2037.0	164.0	4286	38.678448699067246	2032.0	0	2037.0	212	2037.0	0.9907467242757356	171.98036327933238	219.08934707903782	0	0
NORP83_87	3260	3246	1.56840490797546	3260	3260.0	166.0	6644	39.829447852760744	3246.0	0	3260.0	124	3260.0	0.9928493551468466	172.86932515337426	219.27116564417182	0	0
NORP83_107	691	690	1.9406657018813316	691	691.0	157.0	1485	40.45730824891462	690.0	0	691.0	103	691.0	0.9911302620949428	166.11866859623734	218.35600578871205	0	0
NORP83_98	2669	2666	2.004870738104159	2669	2669.0	162.0	5556	39.789059572873725	2667.0	0	2668.0	218	2669.0	0.9908414706104269	171.21056575496442	219.41738478831024	0	0
NORP83_116	739	739	2.378890392422192	739	739.0	166.0	1654	40.104194857916106	739.0	0	739.0	176	739.0	0.9891509494053804	172.3234100135318	219.39512855209745	0	0
NORP83_108	1964	1961	1.9663951120162928	1964	1964.0	160.0	4065	38.936354378818734	1961.0	0	1964.0	137	1964.0	0.9910435300366106	169.5621181262729	219.37830957230145	0	0
NORP83_91	2766	2764	1.4616775126536514	2766	2766.0	164.0	5680	40.54483007953724	2764.0	0	2766.0	148	2766.0	0.9933034824928371	171.90853217642803	219.1731742588576	0	0
NORP83_90	3379	3375	1.8511393903521751	3379	3379.0	163.0	7045	38.469665581533	3376.0	0	3378.0	287	3379.0	0.9915401332939788	171.32258064516128	219.1029890500148	0	0
NORP83_89	3776	3775	1.953125	3776	3776.0	163.0	7847	41.406779661016955	3775.0	0	3776.0	295	3776.0	0.991115913561894	172.00715042372883	219.73119703389833	0	0
NORP83_120	666	666	2.214714714714715	666	666.0	158.0	1506	40.28978978978978	666.0	0	666.0	174	666.0	0.9899267270824884	165.45945945945942	219.76726726726727	0	0
NORP83_112	583	583	2.2178387650085765	583	583.0	161.0	1318	40.6106346483705	583.0	0	583.0	152	583.0	0.9899208741615424	168.78387650085762	220.21269296740996	0	0
NORP83_131	1108	1108	1.879963898916968	1108	1108.0	164.0	2313	40.43411552346571	1108.0	0	1108.0	97	1108.0	0.9914064112773259	169.3176895306859	219.12364620938632	0	0
NORP83_113	2157	2157	1.3273064441353732	2157	2157.0	163.0	4402	41.741307371349095	2157.0	0	2157.0	88	2157.0	0.993941888005165	171.19842373667132	219.53129346314324	0	0
NORP83_118	814	812	2.493857493857494	814	813.0	162.0	1835	39.793611793611795	813.0	0	814.0	207	814.0	0.9885465165015151	169.9078624078624	218.77272727272728	0	0
NORP83_97	3210	3207	1.811214953271028	3210	3209.0	163.0	6652	39.63115264797508	3208.0	0	3210.0	232	3210.0	0.9917264910213238	171.0373831775701	219.79719626168225	0	0
NORP83_53	7014	7010	1.6253207869974338	7014	7013.0	164.0	14414	39.95181066438551	7011.0	0	7014.0	386	7014.0	0.9925824055854252	171.87410892500714	219.464499572284	0	0
NORP83_121	679	679	1.664212076583211	679	679.0	157.0	1461	40.164948453608254	679.0	0	679.0	103	679.0	0.9923784894299232	166.2960235640648	218.71723122238583	0	0
NORP83_119	1373	1372	1.7698470502549162	1373	1373.0	163.0	2868	41.30444282592863	1372.0	0	1373.0	122	1373.0	0.9919125887560624	169.37217771303713	218.5673707210488	0	0
NORP83_122	1010	1010	2.3247524752475246	1010	1010.0	163.5	2099	41.21782178217822	1010.0	0	1010.0	79	1010.0	0.9894434986815718	173.74257425742573	220.07821782178215	0	0
NORP83_76	4862	4859	1.8083093377211024	4862	4861.0	164.0	9981	39.631221719457024	4860.0	0	4862.0	257	4862.0	0.9917678474404128	171.86466474701766	219.71143562320032	0	0
NORP83_115	1966	1966	1.5839267548321465	1966	1966.0	164.0	4091	41.28280773143438	1966.0	0	1966.0	159	1966.0	0.9927733346124444	172.14699898270598	220.09664292980668	0	0
NORP83_125	791	790	2.946902654867257	791	790.0	161.0	1672	37.228824273072064	791.0	0	791.0	90	791.0	0.9865857104690976	170.03034134007586	219.2174462705436	0	0
NORP83_117	1956	1955	1.9902862985685077	1956	1956.0	163.0	4084	40.5	1955.0	0	1956.0	172	1956.0	0.9909441062375948	171.85889570552146	219.4723926380368	0	0
NORP83_123	1668	1667	1.985011990407674	1668	1668.0	163.0	3480	37.61750599520384	1667.0	0	1668.0	144	1668.0	0.9909424916536796	171.62170263788968	219.09232613908875	0	0
NORP83_126	771	767	1.2645914396887157	771	771.0	161.0	1613	33.46692607003891	767.0	0	771.0	71	771.0	0.9942522543158274	171.92347600518806	220.568093385214	0	0
NORP83_104	3406	3405	1.9368761009982385	3406	3406.0	163.0	7108	41.07046388725778	3405.0	0	3406.0	296	3406.0	0.9912106258755441	171.19054609512625	220.19172049324717	0	0
NORP83_101	5014	5006	1.4323893099321898	5014	5014.0	166.0	10261	39.98942959712805	5006.0	0	5014.0	233	5014.0	0.99347266800184	173.73633825289193	219.78520143597925	0	0
NORP83_100	2738	2738	2.073411249086925	2738	2738.0	164.0	5682	39.662162162162154	2738.0	0	2738.0	206	2738.0	0.9905421318396184	171.2720964207451	218.88458728999268	0	0
NORP83_134	1124	1107	2.3736654804270456	1124	1124.0	164.5	2452	31.201067615658364	1107.0	0	1124.0	204	1124.0	0.9891617879115592	170.47686832740214	220.2197508896797	0	0
NORP83_111	2067	2067	1.3367198838896952	2067	2067.0	165.0	4230	41.47218190614417	2067.0	0	2067.0	96	2067.0	0.9938654364196056	172.30624092888246	218.05031446540883	0	0
NORP83_127	828	828	2.707729468599034	828	828.0	161.0	1790	39.45772946859904	828.0	0	828.0	134	828.0	0.9875841363033993	169.05797101449275	218.20893719806762	0	0
NORP83_128	726	725	2.064738292011019	726	726.0	160.0	1591	40.03168044077135	725.0	0	726.0	139	726.0	0.9905778776919096	170.0082644628099	219.3168044077135	0	0
NORP83_129	1353	1353	2.309682187730968	1353	1353.0	163.0	2843	40.398373983739845	1353.0	0	1353.0	137	1353.0	0.9894866187329112	170.92165558019215	219.3680709534368	0	0
NORP83_114	3575	3575	1.660979020979021	3575	3575.0	165.0	7286	40.54993006993007	3575.0	0	3575.0	136	3575.0	0.9924420117246424	173.16559440559442	219.48447552447556	0	0
NORP83_143	879	876	1.8737201365187712	879	879.0	158.0	1899	36.310580204778155	876.0	0	879.0	141	879.0	0.9914126962533392	167.93515358361773	218.17861205915813	0	0
NORP83_135	1246	1246	2.3772070626003208	1246	1246.0	163.0	2576	40.48876404494382	1246.0	0	1246.0	84	1246.0	0.9891742358379974	172.15890850722312	219.0481540930979	0	0
NORP83_124	3050	3049	1.8973770491803283	3050	3050.0	163.0	6331	41.094754098360646	3049.0	0	3050.0	231	3050.0	0.9913594211976544	171.00098360655736	219.96327868852455	0	0
NORP83_132	1207	1206	2.088649544324772	1207	1207.0	163.0	2508	39.073736536868275	1206.0	0	1207.0	94	1207.0	0.990517333026253	172.46893123446563	220.11350455675228	0	0
NORP83_137	1285	1278	2.3649805447470817	1285	1285.0	164.0	2708	38.30272373540856	1278.0	0	1285.0	138	1285.0	0.9891854566843696	171.16031128404668	219.11517509727628	0	0
NORP83_136	824	822	3.844660194174757	824	824.0	160.0	2074	36.59344660194175	822.0	0	824.0	426	824.0	0.982441683871179	168.1043689320388	219.91747572815532	0	0
NORP83_138	949	949	2.0864067439409903	949	949.0	164.0	2077	39.8809272918862	949.0	0	949.0	179	949.0	0.9904435939884749	170.96838777660696	218.70389884088516	0	0
NORP83_142	2577	2576	2.5681024447031437	2577	2577.0	161.0	5525	40.63019014357781	2577.0	0	2576.0	371	2577.0	0.9882988512499734	170.17656189367486	218.8894062863795	0	0
NORP83_139	558	557	2.5770609318996414	558	557.0	157.0	1261	39.833333333333336	558.0	0	558.0	145	558.0	0.9882523666106396	165.26523297491042	219.44086021505376	0	0
NORP83_146	1218	1213	1.8136288998357963	1218	1218.0	162.0	2645	39.419540229885065	1214.0	0	1217.0	209	1218.0	0.9916876870290722	168.2192118226601	218.5065681444992	0	0
NORP83_141	1445	1442	1.6505190311418685	1445	1445.0	162.0	2941	41.67612456747405	1442.0	0	1445.0	51	1445.0	0.9924549005583568	169.7681660899654	218.9100346020761	0	0
