# min_read_ani:0.95 max_insert_relative:3 min_insert:50 min_mapq:1 pairing_filter:paired_only
scaffold	pass_pairing_filter	filtered_pairs	mean_mistmaches	unfiltered_pairs	pass_min_read_ani	median_insert	unfiltered_reads	mean_mapq_score	pass_min_mapq	unfiltered_priority_reads	pass_max_insert	unfiltered_singletons	pass_min_insert	mean_PID	mean_insert_distance	mean_pair_length	filtered_singletons	filtered_priority_reads
NORP83_88	612	610	2.406862745098039	612	611.0	156.0	1457	39.76470588235294	611.0	0	612.0	233	612.0	0.9889485251258476	161.18137254901958	218.9852941176471	0	0
NORP83_85	1242	1241	1.8099838969404187	1242	1242.0	165.0	2656	38.17391304347826	1241.0	0	1242.0	172	1242.0	0.991678445405012	171.49516908212559	218.76328502415456	0	0
NORP83_94	880	880	0.9034090909090908	880	880.0	162.5	1865	41.80681818181818	880.0	0	880.0	105	880.0	0.9958402165312428	169.6715909090909	219.32613636363635	0	0
NORP83_69	2474	2473	2.1632983023443817	2474	2473.0	166.0	5150	41.035974130962	2474.0	0	2474.0	202	2474.0	0.9901716092637112	173.74373484236054	220.22231204527085	0	0
NORP83_92	573	571	2.137870855148342	573	573.0	161.0	1280	38.73647469458988	571.0	0	573.0	134	573.0	0.9902323774156174	168.6003490401396	219.36474694589882	0	0
NORP83_72	2682	2680	1.122669649515287	2682	2680.0	163.0	5680	41.58351976137211	2682.0	0	2682.0	316	2682.0	0.994868120950812	172.1241610738255	220.00708426547357	0	0
NORP83_83	638	637	2.749216300940439	638	637.0	156.5	1390	39.44043887147336	638.0	0	638.0	114	638.0	0.987357812284412	167.70532915360502	218.43887147335425	0	0
NORP83_99	965	903	1.8559585492227981	965	965.0	164.0	2000	35.10880829015544	903.0	0	965.0	70	965.0	0.9915669757408518	173.47150259067357	219.4715025906736	0	0
NORP83_56	3438	3433	1.8638743455497384	3438	3437.0	161.0	7174	39.4002326934264	3434.0	0	3438.0	298	3438.0	0.9915280472871302	169.49912739965097	219.8342059336824	0	0
NORP83_86	600	600	3.091666666666667	600	600.0	161.5	1329	39.45	600.0	0	600.0	129	600.0	0.9858892030766732	169.28666666666666	219.13	0	0
